"Year	World																																																									"
"2000	6121682736																																																									"
"2001	6201340258																																																									"
"2002	6280530065																																																									"
"2003	6359899296																																																									"
"2004	6439825381																																																									"
"2005	6520298763																																																									"
"2006	6601476541																																																									"
"2007	6683223772																																																									"
"2008	6766296679																																																									"
"2009	6849569339																																																									"
"2010	6932869743																																																									"
"2011	7014983968																																																									"
"2012	7099557649																																																									"
"2013	7185137526																																																									"
"2014	7271322821																																																									"
"2015	7357559450																																																									"
"2016	7444157356																																																									"
"2017	7530360149																																																									"
